id,title,year
pbd93cee4e84b5c34f018cf371fdfdf3e,FONN: Combining First Order Logic with Connectionist Learning,
p79f68cad200f18b3583ed9e4c304a817,Learning Momentum: On-line Performance Enhancement for Reactive Systems,
p42ca9a27f8d8c396cabb9953b04d723a,On the Use of Directory Services to Support Multi-Protocol Inter-operability,1993.0
p040d8882beb39578b450d93efdeaebe0,A Comparative Evaluation of Techniques for Studying Parallel System Performance,1994.0
p4c58bb2826cca94dc5d7b268241fd2aa,Abstracting Network Characteristics and Locality Properties of Parallel Systems,1995.0
pefdb10f57d09bc5611d080eb37992c7d,GIT-CC-92/60 A Model-Based Approach to Analogical Reasoning and Learning in Design,1992.0
pb43cecdba6cf524cca2ff140b51b9f8e,Multicast on Irregular Switch-based Networks with Wormhole Routing,
p88821de4deea1b9271610794d96630e4,"Designing Large Hierarchical Multiprocessor Systems under Processor, Interconnection, and Packaging Advancements A) to elastomeric surface",1994.0
pa92d35903df32359edc839fe010255ec,Unknown Title 8,1997.0
p364be2f3fd50e8ff8033c0547bdd6f3e,Message-Ordering for Wormhole-Routed Multiport Systems with Link Contention and Routing Adaptivity In Scalable High Performance,
p8a52673f10f614d0eda7f330cef46ace,Efficient Broadcast and Multicast on Multistage Interconnection Networks using Multiport Encoding,
p443f0145895e7a96d873662cd9410ed0,Designing Clustered Multiprocessor Systems under Packaging and Technological Advancements,
p459005ad4857aaaf85996c8a7f679a3c,Efficient Collective Communication on Heterogenous Networks of Workstations,
pf74649b4bf68b8aac4efe4af61cc1ebe,Optimal Multicast with Packetization and Network Interface Support,
p56448f0a323bfee2a20e4181f81d981b,Issues in Designing Efficient and Practical Algorithms for Collective Communication on Wormhole-Routed Systems,1995.0
p76104f47f402d594d7126fbc820fbf3b,Alleviating Consumption Channel Bottleneck in Wormhole-Routed k-ary n-cube Systems,
pfb5ee0556eaac95fc9c3d36ce8a3cf0a,Benefits of Processor Clustering in Designing Large Parallel Systems: When and How?,
p2ae9675d072e315a0eb4b2c0c5ae4230,Effective Use of Virtual Channels in Wormhole Routed Distributed Shared Memory Systems,
pb66911e4dc333c58142cd895f5d30879,JUNG ET AL.: ESTIMATING ALERTNESS FORM THE EEG POWER SPECTRUM 1 Estimating Alertness from the,
pe98dadf70720e4753d40eedfefe39380,HPAM: An Active Message layer for a Network of HP Workstations,
p6d3afa5aa4cb6afd3dba8136cb93ed7e,Physical Elements: Using chains and cell complexes to solve multiple domain PDE problems,
p84dad78c4c0f409e9c303bdada282d21,Query Evaluation Techniques for Large Databases,1993.0
pd4f2307b9ea7e53b34a86a2b728a673a,CAD Modelling of the Birth Process: A Preliminary Report,
p2d1d7cce1e742ab9c46b688074c115b8,A Neural Network Pole Balancer that Learns and Operates on a Real Robot in Real Time,
p2abf19613cb51b89f00f0064a973265a,on Inductive Logic Programming (ILP-95) Inducing Logic Programs without Explicit Negative Examples,1995.0
pe0526f8b07ae690d9725a1c91cac1038,Combining Top-down and Bottom-up Techniques in Inductive Logic Programming,1994.0
p533fd290c0202afc2502fc621ff4170c,Integrating Explanation-Based and Inductive Learning Techniques to Acquire Search-Control for Planning,
p5f78c6ffdd2dea1da68c29dd5e16742d,Semantic Lexicon Acquisition for Learning Parsers,
p4076b5e097cc33933e51e0bf9abfaf26,Real-time Interactive Neuro-evolution,1998.0
pe2d9f1d9b060ff925d7d9be39ace3a33,Self-Organization and Segmentation in a Laterally Connected Orientation Map of Spiking Neurons,1998.0
pc6b8e591b76f23f3db129f1f462bfb7c,Incremental Evolution of Complex General Behavior,1997.0
pda8994f048a42bfd6de1d3c79013529a,"Searle, Subsymbolic Functionalism and Synthetic Intelligence",
p839640e980235e28d7c7ddfae6b2db00,Visual Schemas in Neural Networks for Object Recognition and Scene Analysis,
p76d36f8aa15832789dc08dbcee0c1ffb,"Priming, Perceptual Reversal, and Circular Reaction in a Neural Network Model of Schema-Based Vision",
pc6044a670fedbf31f77ac4327d1a9751,A Neural Network for Attentional Spotlight,
p4114dd146efe0cfa3c75d3518a7319b0,Comparative Analysis and Qualitative Integral Representations,1991.0
p650e4451cc321ec51e79eb27f7911aef,Qualitative simulation as a temporally-extended constraint satisfaction problem,
pb25afd37afbd5d2e4a580e9f62334a0a,Access-Limited Logic A Language for Knowledge Representation 1,1990.0
pe268b2a8a7eb21c98c206237694fb844,Expert Systems for Monitoring and Control,
p828cadc3b0c489df819d624262d63c24,In  Reasoning in Logic about Continuous Systems,
p252311ab24fcb1620a830a7ec6c51899,Qualitative Simulation,
p21948ddff45f29d84c5460c54015ab24,Qualitative Simulation: Then and Now Qualitative reasoning about physical systems has become one of the,
p6ed91bea040341253a23abd03f6bcf21,The Cognitive Map: Could It Have Been Any Other Way? viewing it from the point,1983.0
p98fbe207cfbb9deee6da45a9eddb15df,A Hierarchy of Qualitative Representations for Space The dependencies among levels in the hierarchy help,
p187ddaf28491c14fc3766701289b2e38,A Qualitative Method to Construct Phase Portraits equation models are important for reasoning about physical,
p1737ee65fea6469bfbec8d3ce08efbdc,Comparison of the Classic and Algernon Knowledge Representation Systems,
pd6573cd99599d42d9fc474bd3e98e28e,A Model for Integrated Qualitative Spatial and Dynamic Reasoning about Physical Systems,
p1a7b48f3ae5804773547cc38ef3bf9d1,Qualitative Simulation and Temporal Logic: Proving Properties of Continuous Systems,1996.0
pcb2c76206926429dcce166a21b4099bf,Component Connection Models of Reaction Control System,1993.0
pde2fcda2f570abe55ccbfe519245c7cd,QSIM Extensions,1994.0
pcb8812e9c700b6185102e4d9499f1402,Mediators in a Radiation Treatment Planning Environment,1995.0
pd11841d4df74777fe0a55bcddca08735,The CORAL Deductive System,
p654c89ebfdfdecfb6b3439f30c4165d5,MIMSY: A System For Analyzing Time Series Data in the Stock Market Domain,
pd3b9affcc3aabadf41a12dd5f3535aac,The OO7 Benchmark,1994.0
p9b0768687dd852a39bb9fa3c55fce146,A Data Model and Query Language for EXODUS,
p75b923764e7cde3309ae00921ee4f731,Client-Server Caching Revisited,
p2ac6fdd7bdce6494adffcdff162244e2,Fine-Grained Sharing in a Page Server OODBMS,
p8e6f162665e0179f76859ea6990e2d45,Learning Control Functions from Examples,1994.0
pe10810b3b5b898be9b9fb13a86bfa013,A Massively Parallel Algorithm for Three Dimensional Device Simulation,
p6e368307f1c31f36e09d5060384065e6,A Generalized Self-Scattering Technique for Monte Carlo Simulation Suitable for SIMD Architectures,
p193d8a7eb6ecc029063ae27e46108af1,Techniques for Low Cost Spatial Audio,
pda223f458728f4ea8a3e13b09e8791c1,Matrix-Vector Multiplication and Conjugate Gradient Algorithms on Distributed Memory Computers,
p4da5cd16c748875ec892de800a097c26,SUMMA: Scalable Universal Matrix Multiplication Algorithm,
p4190c94c7f112a8db4e7da7255462f67,On the definitions and the properties of Zero-Knowledge arguments,1993.0
p3bc2f6476eb407e9832cea5476a37e50,Achieving independence efficiently and securely,
p65a679715f789be9590afb6777496172,The Management of Context-Sensitive Features: A Review of Strategies,
pba19ac1f2211011b384bad40a56d3b7e,Cost-sensitive feature reduction applied to a hybrid genetic algorithm,
